Name,front,rear,Cd
DP 0,0.1,30,0.173938
DP 1,0.1,29.975,0.174835
DP 2,0.10005,29.85,0.170985
DP 3,0.1001,30,0.172906
DP 4,0.10015,30.125,0.172575
DP 5,0.1003,30.15,0.174748
DP 6,0.10045,30.175,0.17822
DP 7,0.1006,30.2,0.176374
DP 8,0.10075,30.225,0.1768
DP 9,0.1009,30.25,0.178949
DP 10,0.10105,30.275,0.171322
DP 11,0.1012,30.3,0.182402
DP 12,0.10135,30.325,0.180326
DP 13,0.1015,30.35,0.170487
DP 14,0.10165,30.375,0.178176
DP 15,0.1018,30.4,0.179278
DP 16,0.10195,30.425,0.166631
DP 17,0.1021,30.45,0.171266
DP 18,0.10225,30.475,0.174398
DP 19,0.1024,30.5,0.173574
DP 20,0.10255,30.525,0.181712
DP 21,0.1027,30.55,0.173805
DP 22,0.10285,30.575,0.175161
DP 23,0.103,30.6,0.177258
DP 24,0.10315,30.625,0.175958
DP 25,0.1033,30.65,0.176001
DP 26,0.10345,30.675,0.176981
DP 27,0.1036,30.7,0.176334
DP 28,0.10375,30.725,0.178628
DP 29,0.1039,30.75,0.17315
DP 30,0.10405,30.775,0.176298
DP 31,0.1042,30.8,0.172868
DP 32,0.10435,30.825,0.179938
DP 33,0.1045,30.85,0.166716
DP 34,0.10465,30.875,0.175037
DP 35,0.1048,30.9,0.1746
DP 36,0.10495,30.925,0.168956
DP 37,0.1051,30.95,0.176548
DP 38,0.10525,30.975,0.169819
DP 39,0.1054,31,0.172429
DP 40,0.10555,31.025,0.174528
DP 41,0.1057,31.05,0.172843
DP 42,0.10585,31.075,0.182015
DP 43,0.106,31.1,0.168422
DP 44,0.10615,31.125,0.178829
DP 45,0.1063,31.15,0.180149
DP 46,0.10645,31.175,0.175663
DP 47,0.1066,31.2,0.171571
DP 48,0.10675,31.225,0.170561
DP 49,0.1069,31.25,0.172233
DP 50,0.10705,31.275,0.177245
DP 51,0.1072,31.3,0.178191
DP 52,0.10735,31.325,0.174105
DP 53,0.1075,31.35,0.175267
DP 54,0.10765,31.375,0.176435
DP 55,0.1078,31.4,0.172185
DP 56,0.10795,31.425,0.166813
DP 57,0.1081,31.45,0.170281
DP 58,0.10825,31.475,0.174879
DP 59,0.1084,31.5,0.186751
DP 60,0.10855,31.525,0.163296
DP 61,0.1087,31.55,0.18182
DP 62,0.10885,31.575,0.176585
DP 63,0.109,31.6,0.169146
DP 64,0.10915,31.625,0.175828
DP 65,0.1093,31.65,0.179464
DP 66,0.10945,31.675,0.182228
DP 67,0.1096,31.7,0.180214
DP 68,0.10975,31.725,0.174786
DP 69,0.1099,31.75,0.17669
DP 70,0.11005,31.775,0.170236
DP 71,0.1102,31.8,0.176973
DP 72,0.11035,31.825,0.179242
DP 73,0.1105,31.85,0.180154
DP 74,0.11065,31.875,0.170119
DP 75,0.1108,31.9,0.176529
DP 76,0.11095,31.925,0.163978
DP 77,0.1111,31.95,0.16969
DP 78,0.11125,31.975,0.173618
DP 79,0.1114,32,0.168184
DP 80,0.11155,32.025,0.174185
DP 81,0.1117,32.05,0.178925
DP 82,0.11185,32.075,0.16737
DP 83,0.112,32.1,0.169845
DP 84,0.11215,32.125,0.167812
DP 85,0.1123,32.15,0.169862
DP 86,0.11245,32.175,0.172116
DP 87,0.1126,32.2,0.168848
DP 88,0.11275,32.225,0.167318
DP 89,0.1129,32.25,0.170293
DP 90,0.11305,32.275,0.167996
DP 91,0.1132,32.3,0.170104
DP 92,0.11335,32.325,0.169444
DP 93,0.1135,32.35,0.17989
DP 94,0.11365,32.375,0.163511
DP 95,0.1138,32.4,0.185664
DP 96,0.11395,32.425,0.172921
DP 97,0.1141,32.45,0.170982
DP 98,0.11425,32.475,0.171692
DP 99,0.1144,32.5,0.170439
DP 100,0.11455,32.525,0.172473
DP 101,0.1147,32.55,0.180383
DP 102,0.11485,32.575,0.178551
DP 103,0.115,32.6,0.169313
DP 104,0.11515,32.625,0.18051
DP 105,0.1153,32.65,0.181612
DP 106,0.11545,32.675,0.170566
DP 107,0.1156,32.7,0.170669
DP 108,0.11575,32.725,0.169839
DP 109,0.1159,32.75,0.16458
DP 110,0.11605,32.775,0.169587
DP 111,0.1162,32.8,0.180442
DP 112,0.11635,32.825,0.170445
DP 113,0.1165,32.85,0.174595
DP 114,0.11665,32.875,0.174888
